bord_id,pcode,exdate,numpers
1321,2019,04Apr99,15
1258,2019,04Apr99,7
1202,2019,04Apr99,27
1292,2019,04Apr99,30
1326,2019,04Apr99,19
1294,2019,04Apr99,8
1828,2019,04Apr99,5
1835,2019,04Apr99,23
1573,2019,04Apr99,2
1280,2019,04Apr99,6
1504,2019,04Apr99,26
1727,2019,04Apr99,20
1520,2019,04Apr99,11
1503,2019,04Apr99,212
1331,2019,04Apr99,13
1654,2019,04Apr99,6
1501,2019,04Apr99,24
1599,2019,04Apr99,11
1189,2019,04Apr99,11
1319,2019,04Apr99,25
1736,2019,04Apr99,4
1524,2019,04Apr99,19
1522,2019,04Apr99,17
1306,2019,04Apr99,10
1681,2019,04Apr99,6
1680,2019,04Apr99,5
1878,2019,04Apr99,15
1882,2019,04Apr99,17
1194,2019,04Apr99,6
1423,2019,04Apr99,6
1832,2019,04Apr99,13
1424,2019,04Apr99,12
1834,2019,04Apr99,8
1271,2019,04Apr99,26
1877,2019,04Apr99,13
1230,2019,04Apr99,41
1827,2019,04Apr99,25
1880,2019,04Apr99,19
1179,2019,04Apr99,7
1284,2019,04Apr99,24
1266,2019,04Apr99,5
1185,2019,04Apr99,24
1183,2019,04Apr99,8
1298,2019,04Apr99,25
1330,2019,04Apr99,15
1210,2019,04Apr99,12
1890,2019,04Apr99,30
1291,2019,04Apr99,25
1829,2019,04Apr99,30
1334,2019,04Apr99,25
1738,2019,04Apr99,4
1396,2019,04Apr99,37
1523,2019,04Apr99,18
1335,2019,04Apr99,8
1285,2019,04Apr99,21
1452,2019,04Apr99,6
1876,2019,04Apr99,11
1208,2019,04Apr99,17
1879,2019,04Apr99,24
1526,2019,04Apr99,31
1295,2019,04Apr99,17
1875,2019,04Apr99,20
1395,2019,04Apr99,21
1263,2019,04Apr99,10
1672,2019,04Apr99,5
1213,2019,04Apr99,7
1231,2019,04Apr99,27
1545,3010,04Apr99,14
1666,3010,04Apr99,7
2072,5004,04Apr99,7
1600,5004,04Apr99,6
2073,5004,04Apr99,6
2132,5004,04Apr99,7
2127,5004,04Apr99,14
1513,5004,04Apr99,19
1604,5004,04Apr99,8
2101,5004,04Apr99,21
2094,5004,04Apr99,6
1562,5004,04Apr99,4
